1
60.6455,396.393
67.5303,306.294
69.0135,147.402
97.5143,174.832
99.1897,435.761
217.441,530.639
222.467,138.146
233.454,255.5
299.245,420.124
299.73,508.464
308.482,512.511
343.2,357.162
384.894,49.6407
437.244,387.668
525.75,454.017
537.606,416.8
555.999,285.676
578.723,533.147
580.801,485.878
583.236,416.178
2
4.16571,513.472
20.6912,411.966
65.7908,569.769
91.5267,97.1847
154.498,73.0236
170.739,527.16
182.715,290.163
206.482,597.702
298.192,193.408
315.843,518.59
319.561,166.509
336.947,522.499
356.081,265.122
358.169,590.478
466.322,199.67
474.754,241.941
507.549,147.466
513.271,210.52
513.729,18.3108
532.305,113.225
3
8.94484,338.54
69.0135,278.242
80.4303,203.351
102.632,252.479
106.77,351.357
112.3,522.664
286.052,84.5777
352.364,595.807
355.862,202.463
392.703,508.583
402.161,466.908
407.819,181.598
442.298,32.5017
463.41,228.876
467.942,436.457
501.112,3.34173
518.041,502.019
541.039,452.085
554.406,58.5946
575.354,165.1
4
12.6802,192.236
80.9796,597.18
83.1769,338.466
91.7739,104.262
128.286,163.323
160.165,205.09
171.124,361.355
223.108,286.885
243.983,416.352
270.744,60.4532
279.954,21.2589
360.293,277.885
365.521,159.359
421.048,359.222
493.623,502.724
521.959,194.406
526.665,569.952
535.427,78.114
572.268,9.40261
596.814,438.462
5
19.6384,512.309
19.9496,354.855
79.1302,169.751
95.2529,398.984
111.366,112.016
125.603,228.318
171.957,156.832
221.936,584.601
299.657,117.217
300.737,512.712
311.669,422.358
312.383,336.754
327.608,483.571
401.511,289.311
428.968,312.355
434.882,145.269
465.562,446.693
495.29,127.572
498.613,561.273
531.82,312.099
6
1.52895,360.851
52.4422,425.974
54.4839,599.469
60.4623,482.39
118.288,253.175
164.953,526.18
242.948,233.637
304.491,142.403
309.801,276.887
325.274,444.349
350.845,543.694
507.53,425.397
508.904,184.765
527.031,195.413
539.776,60.5539
573.413,432.822
585.342,248.405
591.348,404.981
598.956,439.24
598.993,33.1884
7
5.71298,467.448
19.556,457.835
39.1119,30.2403
64.9119,505.077
73.2158,501.726
85.3834,104.399
88.4413,67.6585
90.1259,432.282
96.2325,263.612
124.559,159.927
143.85,187.274
145.315,58.6496
152.474,206.143
194.324,120.696
208.331,285.786
269.215,499.666
297.176,223.886
331.701,144.436
483.14,254.914
550.607,529.641
8
44.6601,523.159
59.3637,586.45
90.2998,530.785
116.53,304.134
190.68,576.516
244.285,565.429
282.042,144.115
294.228,522.243
298.695,573.999
306.871,71.632
335.665,119.936
363.873,309.444
407.269,120.027
413.632,426.853
441.987,7.97436
448.176,468.006
453.55,185.571
492.488,349.947
509.874,420.087
515.505,520.934
9
6.50034,477.638
43.3509,433.838
66.807,34.9554
205.081,126.839
221.332,500.645
245.182,16.5072
257.734,145.168
269.114,220.755
292.168,424.729
325.64,71.1742
362.509,491.344
373.953,365.374
381.616,211.023
408.368,291.975
460.288,75.9442
477.51,222.165
511.403,303.612
535.253,331.792
556.21,339.73
587.375,464.71
10
21.3596,514.717
45.8869,518.663
57.1023,155.257
83.8727,551.128
107.485,548.281
163.131,386.23
178.412,100.233
183.337,536.397
232.996,371.032
237.629,177.899
239.121,98.0362
302.861,173.367
321.584,383.456
387.961,35.6603
390.808,214.301
426.752,248.002
490.428,380.472
506.743,64.6372
551.037,72.4743
597.839,202.298
